iterations;bestFitness;averageFitness;mutations;cruces;
3350;7.148984844152131E-5;6.998347195655294E-5;5994;30150;
3355;7.148984844152131E-5;6.90191564300267E-5;6002;30195;
3360;7.148984844152131E-5;6.826591621950502E-5;6014;30240;
3365;7.148984844152131E-5;6.926698090270526E-5;6025;30285;
3370;7.215007215007215E-5;6.874650224986122E-5;6037;30330;
3375;7.215007215007215E-5;6.889982863340037E-5;6050;30375;
3380;7.215007215007215E-5;6.969934258661989E-5;6059;30420;
3385;7.215007215007215E-5;7.00133364025119E-5;6067;30465;
3390;7.231703789412785E-5;7.104192366786402E-5;6078;30510;
3395;7.231703789412785E-5;7.130298933292909E-5;6087;30555;
3400;7.231703789412785E-5;6.933072611963836E-5;6097;30600;
3405;7.231703789412785E-5;7.060104540045724E-5;6102;30645;
3410;7.231703789412785E-5;6.942510882201816E-5;6113;30690;
3415;7.231703789412785E-5;7.093841959140488E-5;6119;30735;
3420;7.231703789412785E-5;6.952400468202806E-5;6128;30780;
3425;7.231703789412785E-5;6.955181570986437E-5;6139;30825;
3430;7.231703789412785E-5;7.003798402095296E-5;6152;30870;
3435;7.231703789412785E-5;6.875977230173028E-5;6161;30915;
3440;7.231703789412785E-5;6.952964570950388E-5;6171;30960;
3445;7.231703789412785E-5;6.977596983529633E-5;6182;31005;
3450;7.231703789412785E-5;7.062187646973824E-5;6188;31050;
3455;7.231703789412785E-5;7.032515442838043E-5;6197;31095;
3460;7.231703789412785E-5;6.94840711155921E-5;6209;31140;
3465;7.231703789412785E-5;7.052831165023112E-5;6216;31185;
3470;7.231703789412785E-5;7.089232686567251E-5;6225;31230;
3475;7.231703789412785E-5;6.986167031143418E-5;6235;31275;
3480;7.231703789412785E-5;7.06283650467086E-5;6246;31320;
3485;7.231703789412785E-5;6.92982416036375E-5;6258;31365;
3490;7.231703789412785E-5;6.928620612329752E-5;6264;31410;
3495;7.231703789412785E-5;6.969775554967523E-5;6271;31455;
3500;7.231703789412785E-5;6.841533825943622E-5;6275;31500;
3505;7.231703789412785E-5;7.035908442524138E-5;6286;31545;
3510;7.265329845975008E-5;6.935082486396062E-5;6293;31590;
3515;7.265329845975008E-5;7.067599017824682E-5;6299;31635;
3520;7.265329845975008E-5;6.891579492166288E-5;6314;31680;
3525;7.265329845975008E-5;7.101562879043714E-5;6321;31725;
3530;7.295010213014298E-5;7.095891262125135E-5;6332;31770;
3535;7.295010213014298E-5;6.969824955292347E-5;6344;31815;
3540;7.295010213014298E-5;7.066566766598604E-5;6352;31860;
3545;7.295010213014298E-5;7.122346096830742E-5;6365;31905;
3550;7.295010213014298E-5;7.076331781282749E-5;6370;31950;
3555;7.295010213014298E-5;7.054334780371189E-5;6375;31995;
3560;7.312079555425563E-5;7.186039742506864E-5;6384;32040;
3565;7.312079555425563E-5;6.990561303689699E-5;6395;32085;
3570;7.312079555425563E-5;7.051080828486672E-5;6402;32130;
3575;7.312079555425563E-5;7.066002408755056E-5;6414;32175;
3580;7.312079555425563E-5;7.06510476507159E-5;6423;32220;
3585;7.312079555425563E-5;6.99780999726568E-5;6434;32265;
3590;7.312079555425563E-5;7.091215072430274E-5;6441;32310;
3595;7.316359379572725E-5;7.148693412951015E-5;6452;32355;
3600;7.33783387144115E-5;7.108736119113326E-5;6460;32400;
3605;7.363770250368188E-5;7.18290381127974E-5;6469;32445;
3610;7.363770250368188E-5;6.999017408037267E-5;6477;32490;
3615;7.363770250368188E-5;7.138862748904608E-5;6489;32535;
3620;7.363770250368188E-5;7.070836823904597E-5;6496;32580;
3625;7.363770250368188E-5;7.084170290880687E-5;6503;32625;
3630;7.363770250368188E-5;7.131263162831824E-5;6515;32670;
3635;7.363770250368188E-5;6.999615551246349E-5;6527;32715;
3640;7.363770250368188E-5;6.850259840331845E-5;6539;32760;
3645;7.363770250368188E-5;7.010999075384812E-5;6550;32805;
3650;7.363770250368188E-5;7.123165612026083E-5;6557;32850;
3655;7.363770250368188E-5;7.130151564256886E-5;6566;32895;
3660;7.363770250368188E-5;6.975811647761388E-5;6575;32940;
3665;7.363770250368188E-5;7.156399364074043E-5;6584;32985;
3670;7.363770250368188E-5;7.0988732939306E-5;6589;33030;
3675;7.363770250368188E-5;7.089831936448787E-5;6594;33075;
3680;7.363770250368188E-5;7.097990376624436E-5;6608;33120;
3685;7.363770250368188E-5;7.092886055804106E-5;6617;33165;
3690;7.363770250368188E-5;7.069598408140808E-5;6627;33210;
3695;7.363770250368188E-5;7.114940849817801E-5;6632;33255;
3700;7.363770250368188E-5;7.080296229651273E-5;6641;33300;
3705;7.442691277165823E-5;7.13344080681316E-5;6649;33345;
3710;7.442691277165823E-5;7.13061065541157E-5;6658;33390;
3715;7.44490768314473E-5;6.981285219692867E-5;6666;33435;
3720;7.44490768314473E-5;7.240165616456101E-5;6673;33480;
3725;7.462686567164179E-5;7.221913381694648E-5;6685;33525;
3730;7.462686567164179E-5;7.285589055373428E-5;6698;33570;
3735;7.532389273877674E-5;7.286739345916688E-5;6704;33615;
3740;7.532389273877674E-5;7.275772255366423E-5;6716;33660;
3745;7.532389273877674E-5;7.246280513095384E-5;6719;33705;
3750;7.532389273877674E-5;7.226309274942294E-5;6727;33750;
3755;7.532389273877674E-5;7.18670203885304E-5;6736;33795;
3760;7.532389273877674E-5;7.33752692186863E-5;6743;33840;
3765;7.532389273877674E-5;7.23607941216405E-5;6752;33885;
3770;7.532389273877674E-5;7.322783075652539E-5;6761;33930;
3775;7.532389273877674E-5;7.344702908279114E-5;6770;33975;
3780;7.532389273877674E-5;7.315081681480488E-5;6774;34020;
3785;7.532389273877674E-5;7.262983770746738E-5;6781;34065;
3790;7.532389273877674E-5;7.257769849385671E-5;6793;34110;
3795;7.532389273877674E-5;7.273933578445295E-5;6801;34155;
3800;7.532389273877674E-5;7.158565831052037E-5;6817;34200;
3805;7.532389273877674E-5;7.121476415453338E-5;6825;34245;
3810;7.532389273877674E-5;7.264523464551427E-5;6834;34290;
3815;7.532389273877674E-5;7.239150141353789E-5;6846;34335;
3820;7.532389273877674E-5;7.318417467076301E-5;6852;34380;
3825;7.532389273877674E-5;7.228576899353094E-5;6863;34425;
3830;7.532389273877674E-5;7.248776330558684E-5;6872;34470;
3835;7.532389273877674E-5;7.197623285386399E-5;6879;34515;
3840;7.566585956416465E-5;7.256201484956498E-5;6888;34560;
3845;7.566585956416465E-5;7.448416068233186E-5;6894;34605;
3850;7.566585956416465E-5;7.067865481776204E-5;6905;34650;
3855;7.566585956416465E-5;7.242410702871018E-5;6911;34695;
3860;7.566585956416465E-5;7.255546729115423E-5;6923;34740;
3865;7.584951456310679E-5;7.352114188778794E-5;6938;34785;
3870;7.584951456310679E-5;7.437705948186524E-5;6947;34830;
3875;7.668711656441718E-5;7.441678104306154E-5;6953;34875;
3880;7.668711656441718E-5;7.441039249283328E-5;6965;34920;
3885;7.668711656441718E-5;7.208854521757377E-5;6976;34965;
3890;7.668711656441718E-5;7.262689483155421E-5;6985;35010;
3895;7.668711656441718E-5;7.40303728881468E-5;6994;35055;
3900;7.668711656441718E-5;7.410069386084779E-5;7006;35100;
3905;7.668711656441718E-5;7.2816089914718E-5;7015;35145;
