iterations;timeInMSec;bestFitness;averageFitness;mutations;cruces;
151;15013;3.444000551040088E-5;3.11769012323928E-5;2996;14949;
152;15110;3.444000551040088E-5;3.107553619338E-5;3022;15048;
153;15208;3.444000551040088E-5;3.097918893219418E-5;3042;15147;
154;15306;3.444000551040088E-5;3.087932485973044E-5;3064;15246;
155;15402;3.444000551040088E-5;3.105010853014785E-5;3081;15345;
156;15502;3.444000551040088E-5;3.110552376894957E-5;3103;15444;
157;15603;3.444000551040088E-5;3.123980159963877E-5;3125;15543;
158;15702;3.444000551040088E-5;3.143692664517156E-5;3149;15642;
159;15799;3.456380478363058E-5;3.16138757794826E-5;3173;15741;
160;15898;3.456380478363058E-5;3.1796158155954816E-5;3199;15840;
161;15998;3.466444814198558E-5;3.2037340942493684E-5;3223;15939;
162;16098;3.466444814198558E-5;3.204017204905774E-5;3234;16038;
163;16195;3.466444814198558E-5;3.215868639311123E-5;3254;16137;
164;16292;3.466444814198558E-5;3.1966041529245556E-5;3277;16236;
165;16388;3.535067873303168E-5;3.206374088955133E-5;3297;16335;
166;16486;3.536568114301882E-5;3.225648826907186E-5;3311;16434;
167;16582;3.536568114301882E-5;3.244614531221981E-5;3334;16533;
168;16679;3.536568114301882E-5;3.2537266608761784E-5;3352;16632;
169;16777;3.536568114301882E-5;3.255885486718753E-5;3367;16731;
170;16874;3.536568114301882E-5;3.246164305051353E-5;3388;16830;
171;16970;3.536568114301882E-5;3.258889703466003E-5;3408;16929;
172;17067;3.536568114301882E-5;3.2799692381040944E-5;3425;17028;
173;17167;3.536568114301882E-5;3.272968300817788E-5;3450;17127;
174;17268;3.536568114301882E-5;3.279896886937292E-5;3465;17226;
175;17367;3.536568114301882E-5;3.270132326743408E-5;3483;17325;
176;17467;3.536568114301882E-5;3.274406573064707E-5;3501;17424;
177;17566;3.536568114301882E-5;3.2795242049362026E-5;3518;17523;
178;17665;3.536568114301882E-5;3.286612814156674E-5;3533;17622;
179;17764;3.536568114301882E-5;3.3066760019958235E-5;3557;17721;
180;17862;3.536568114301882E-5;3.304608958378817E-5;3570;17820;
181;17960;3.536568114301882E-5;3.288259342214684E-5;3589;17919;
182;18056;3.5385704175513094E-5;3.310681718908452E-5;3611;18018;
183;18156;3.5385704175513094E-5;3.29552677923083E-5;3628;18117;
184;18255;3.547608911593586E-5;3.2851488802387036E-5;3649;18216;
185;18351;3.5642999714856005E-5;3.2925539000675114E-5;3671;18315;
186;18447;3.5642999714856005E-5;3.288006252815224E-5;3694;18414;
187;18545;3.5642999714856005E-5;3.3059882071191096E-5;3714;18513;
188;18643;3.5821750967187274E-5;3.313214671669661E-5;3736;18612;
189;18740;3.603343903142116E-5;3.3167603433806866E-5;3757;18711;
190;18836;3.603343903142116E-5;3.325128121689322E-5;3780;18810;
191;18935;3.603343903142116E-5;3.325117901282624E-5;3799;18909;
192;19032;3.610108303249098E-5;3.3180438162476704E-5;3822;19008;
193;19129;3.610108303249098E-5;3.318438261671556E-5;3845;19107;
194;19226;3.610108303249098E-5;3.296547086759846E-5;3865;19206;
195;19325;3.610108303249098E-5;3.3209193657573864E-5;3887;19305;
196;19423;3.610108303249098E-5;3.337429382527346E-5;3903;19404;
197;19522;3.610108303249098E-5;3.331622355727209E-5;3927;19503;
198;19620;3.610108303249098E-5;3.3253335263623173E-5;3946;19602;
199;19720;3.610108303249098E-5;3.321227667623477E-5;3962;19701;
200;19819;3.610108303249098E-5;3.318022753220586E-5;3977;19800;
201;19918;3.610108303249098E-5;3.302309866518987E-5;3988;19899;
202;20016;3.610108303249098E-5;3.284092962892235E-5;4006;19998;
203;20115;3.610108303249098E-5;3.292278380652298E-5;4032;20097;
204;20215;3.610108303249098E-5;3.306540067954483E-5;4048;20196;
205;20314;3.610108303249098E-5;3.327969452735965E-5;4073;20295;
206;20414;3.610108303249098E-5;3.3455012058367045E-5;4098;20394;
207;20513;3.620564808110065E-5;3.370040073675421E-5;4115;20493;
208;20613;3.620564808110065E-5;3.3688946983313767E-5;4135;20592;
209;20712;3.620564808110065E-5;3.357245629524263E-5;4159;20691;
210;20809;3.620564808110065E-5;3.363986560803356E-5;4177;20790;
211;20909;3.620564808110065E-5;3.3703530630166494E-5;4195;20889;
212;21009;3.620564808110065E-5;3.37028633414083E-5;4214;20988;
213;21108;3.620564808110065E-5;3.3597731717460125E-5;4238;21087;
214;21203;3.620564808110065E-5;3.3608142736915096E-5;4265;21186;
215;21299;3.620564808110065E-5;3.3660010130255345E-5;4282;21285;
216;21396;3.6597862684819206E-5;3.363979450836881E-5;4302;21384;
217;21493;3.6597862684819206E-5;3.374217637908882E-5;4325;21483;
218;21590;3.6597862684819206E-5;3.3841986002049746E-5;4347;21582;
219;21689;3.6597862684819206E-5;3.389218490745537E-5;4364;21681;
220;21788;3.6597862684819206E-5;3.388817264218151E-5;4384;21780;
221;21885;3.6597862684819206E-5;3.387672764430725E-5;4400;21879;
222;21983;3.6597862684819206E-5;3.380568136556511E-5;4424;21978;
223;22080;3.6597862684819206E-5;3.396285614841174E-5;4443;22077;
224;22176;3.6597862684819206E-5;3.409309555916734E-5;4462;22176;
225;22272;3.6597862684819206E-5;3.410880392790381E-5;4483;22275;
226;22369;3.6597862684819206E-5;3.4230028191847385E-5;4504;22374;
227;22465;3.6597862684819206E-5;3.408629523996268E-5;4522;22473;
228;22563;3.6597862684819206E-5;3.412746299561281E-5;4545;22572;
229;22659;3.6597862684819206E-5;3.409993489116816E-5;4567;22671;
230;22757;3.6597862684819206E-5;3.426308699634395E-5;4582;22770;
231;22856;3.6597862684819206E-5;3.441020923154224E-5;4596;22869;
232;22955;3.6597862684819206E-5;3.460941802429146E-5;4608;22968;
233;23053;3.663540445486518E-5;3.460222249397449E-5;4629;23067;
234;23152;3.663540445486518E-5;3.454893655877556E-5;4647;23166;
235;23250;3.663540445486518E-5;3.4525344298854406E-5;4666;23265;
236;23348;3.663540445486518E-5;3.43678423213427E-5;4689;23364;
237;23446;3.663540445486518E-5;3.425865549333895E-5;4706;23463;
238;23544;3.663540445486518E-5;3.430814393074254E-5;4734;23562;
239;23644;3.663540445486518E-5;3.436671897351211E-5;4760;23661;
240;23742;3.663540445486518E-5;3.418250262571702E-5;4779;23760;
241;23841;3.663540445486518E-5;3.4207851405785554E-5;4797;23859;
242;23939;3.663540445486518E-5;3.406678295553049E-5;4814;23958;
243;24037;3.6743092298647854E-5;3.392755563991558E-5;4831;24057;
244;24135;3.6743092298647854E-5;3.378306656046066E-5;4853;24156;
245;24234;3.6743092298647854E-5;3.389574960953504E-5;4871;24255;
246;24331;3.6743092298647854E-5;3.3819109270890834E-5;4889;24354;
247;24430;3.6743092298647854E-5;3.389253600614154E-5;4910;24453;
248;24527;3.6743092298647854E-5;3.382236955882925E-5;4923;24552;
249;24626;3.6743092298647854E-5;3.387922547986577E-5;4941;24651;
250;24725;3.6743092298647854E-5;3.394823726241355E-5;4961;24750;
251;24823;3.6743092298647854E-5;3.387198104908475E-5;4977;24849;
252;24919;3.6743092298647854E-5;3.390830673819391E-5;5001;24948;
253;25018;3.6743092298647854E-5;3.3917897315470693E-5;5029;25047;
254;25116;3.6743092298647854E-5;3.386836961795648E-5;5049;25146;
255;25215;3.6743092298647854E-5;3.394343518895542E-5;5068;25245;
256;25313;3.674849331177422E-5;3.388241476483124E-5;5082;25344;
257;25412;3.674849331177422E-5;3.3791122012423665E-5;5095;25443;
258;25509;3.674849331177422E-5;3.3862158753347194E-5;5113;25542;
259;25605;3.674849331177422E-5;3.374748560890527E-5;5129;25641;
260;25702;3.7163668797383674E-5;3.36783970801397E-5;5149;25740;
261;25799;3.7163668797383674E-5;3.3657333897750174E-5;5176;25839;
262;25896;3.7163668797383674E-5;3.3533392866433876E-5;5200;25938;
263;25992;3.7163668797383674E-5;3.366977454559928E-5;5210;26037;
264;26088;3.7163668797383674E-5;3.3753860619670506E-5;5234;26136;
265;26185;3.7163668797383674E-5;3.3682112932592985E-5;5252;26235;
266;26281;3.7163668797383674E-5;3.370559782604662E-5;5273;26334;
267;26377;3.7163668797383674E-5;3.382800889487146E-5;5287;26433;
268;26473;3.7163668797383674E-5;3.401214225004956E-5;5305;26532;
269;26570;3.7163668797383674E-5;3.397826543897655E-5;5321;26631;
270;26666;3.7163668797383674E-5;3.393220593232642E-5;5338;26730;
271;26765;3.7163668797383674E-5;3.393888886431464E-5;5360;26829;
272;26865;3.7163668797383674E-5;3.3842817129453144E-5;5378;26928;
273;26964;3.7163668797383674E-5;3.381828685618296E-5;5396;27027;
274;27063;3.7163668797383674E-5;3.396122675344379E-5;5413;27126;
275;27162;3.7163668797383674E-5;3.405363694842347E-5;5432;27225;
276;27261;3.7163668797383674E-5;3.401417915406724E-5;5449;27324;
277;27360;3.7163668797383674E-5;3.397364768992078E-5;5465;27423;
278;27459;3.7163668797383674E-5;3.40392973071229E-5;5483;27522;
279;27556;3.7163668797383674E-5;3.3970724041960944E-5;5498;27621;
280;27656;3.7724460540214275E-5;3.4071382829642356E-5;5518;27720;
281;27756;3.7724460540214275E-5;3.4063460448606044E-5;5543;27819;
282;27854;3.785011355034065E-5;3.4150432943517974E-5;5567;27918;
283;27952;3.785011355034065E-5;3.443743598716931E-5;5586;28017;
284;28051;3.785011355034065E-5;3.473877689967034E-5;5603;28116;
285;28150;3.785011355034065E-5;3.5091101288696235E-5;5621;28215;
286;28248;3.785011355034065E-5;3.5336033807844804E-5;5639;28314;
287;28347;3.785011355034065E-5;3.5168134758127454E-5;5657;28413;
288;28447;3.785011355034065E-5;3.5184969764084316E-5;5677;28512;
289;28545;3.785011355034065E-5;3.511133061532347E-5;5691;28611;
290;28645;3.785011355034065E-5;3.4960867017964114E-5;5709;28710;
291;28743;3.785011355034065E-5;3.492475756783566E-5;5727;28809;
292;28842;3.785011355034065E-5;3.4920841297101406E-5;5751;28908;
293;28939;3.785011355034065E-5;3.508437768837679E-5;5769;29007;
294;29034;3.7965072133637056E-5;3.4902693394507406E-5;5793;29106;
295;29131;3.7965072133637056E-5;3.5096989948346276E-5;5820;29205;
296;29228;3.808073115003808E-5;3.5267671706712915E-5;5831;29304;
297;29326;3.8214613268113725E-5;3.5613318909044144E-5;5843;29403;
298;29421;3.822045558783061E-5;3.553020635432385E-5;5865;29502;
299;29518;3.822045558783061E-5;3.562567971457557E-5;5887;29601;
300;29615;3.822045558783061E-5;3.56176361790639E-5;5903;29700;
301;29713;3.822045558783061E-5;3.5679869422954856E-5;5922;29799;
302;29811;3.899547652472313E-5;3.574629247472707E-5;5946;29898;
303;29908;3.899547652472313E-5;3.574758877834625E-5;5965;29997;
304;30004;3.899547652472313E-5;3.559773394920077E-5;5984;30096;
